id_str,username,screen_name,created_at,friends_count,followers_count,favourited_count,statuses_count,full_text,description,text_created_at,text_favourites_count,text_retweets_count,label
1.46E+18,Aqilacute10,Aqila_cute,Mon Nov 01 19:00:53 +0000 2021,188,745,1671,2222,"Jika kau yakin dan percaya, maka mimpimu pun akan menjadi nyata.

Semangat capai mimpi, semua!

Arafah  | Jombang | bonus dadakan | Yu-Gi-Oh | Bechi | Jum'at penuh berkah | #TangkapAbuJanda | Tarwiyah https://t.co/JYFCJnBlVx","Lulusan al-Azhar · Qari' · Pecinta Quran

Don't Forget to be Happy 😊 
Jangan tunggu waktu luangmu tapi Luangkanlah untuk membaca Quran! 🌹",Fri Jul 08 02:02:23 +0000 2022,5,2,1
1.50E+18,Kemilau16104667,Kemilau,Tue Feb 22 23:11:01 +0000 2022,343,145,2,630,"Pemerintah serahkan pengelolaan dua menara rusun ke brin
#PastiIndonesiaMaju https://t.co/yhcSPWyy6x",,Sat Jul 16 00:07:32 +0000 2022,0,0,1
163586591,nasehatmuslim,Baik Berkata & Bertindak,Tue Jul 06 20:06:35 +0000 2010,562,662,5943,15356,"Rasulullah Muhammad bersabda,

Tidak boleh melakukan sesuatu yang berbahaya dan menimbulkan bahaya bagi orang lain

(HR. Ibnu Majah)

Insya Allah pak Anies pemimpin pemersatu bangsa umat Islam #KM50RekayasaPenguasa https://t.co/jit1QppRiR","Pengusaha, peneliti, dosen, wakil ketua, dai, penceramah, belajar dalam & luar negeri, kandidat doktor ekonomi Islam. https://t.co/50htpGOvn0, https://t.co/BryxMhc2Xd",Mon Jul 18 14:45:36 +0000 2022,1,0,1
1.43E+18,putrisrikandi_,srikandi_,Mon Sep 06 08:51:51 +0000 2021,444,376,648,7204,"Pemerintah lakukan serah Terima status penggunaan BMN berupa dua twin blok rumah susun kepada BRIN

#PastiIndonesiaMaju https://t.co/OsohYDXmKN",🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,Sat Jul 16 01:19:24 +0000 2022,0,0,1
1.53E+18,arisa_fadillah,Fadillah Arisa,Thu Jun 09 03:39:10 +0000 2022,31,22,0,21,"PT PLN (Persero) menerima kompensasi dari pemerintah sebesar Rp 24,6 triliun. Kompensasi tersebut merupakan realisasi dari skema stimulus listrik sepanjang tahun 2021.

Follow @arisa_fadillah 

#TangkapAbuJanda  #AdaApaDenganGojek #videnistmenggeboi #SikatGigiBareng https://t.co/osiYnuJliY",gemuk gak kurus,Fri Jul 08 01:53:34 +0000 2022,0,1,1
1.08E+18,niaherandeh,nia herawati,Thu Jan 03 11:07:19 +0000 2019,1419,2743,4247,14043,"Badan Riset dan Inovasi Nasional (BRIN) mengakui kinerja Erick Thohir dalam menciptakan lapangan kerja lewat program kredit usaha rakyat (KUR) #ETSolusiBUMNSehat
#ErickThohirJujurBersih https://t.co/BahypKTt4b","i'm too nice to people 😎
#IndoPromoter",Sat Jul 09 08:13:18 +0000 2022,9,7,1
1.42E+18,Devie_meongs3,devi real angels,Wed Jul 21 03:39:57 +0000 2021,0,979,506,565,"belum tidur liat sematan tweet gw open ya

pemimpin pemersatu bangsa #vcs #vcsbugil #vcscolmek #vcsreal #vcstrusted #chatseks #Openvcsreal 
 #SANGE_AAAAAAAAAA https://t.co/cSp7rSKnai",@devie_meongs,Mon Jul 18 21:50:16 +0000 2022,9,3,1
282078384,isnuwbw,isnu wibowo,Thu Apr 14 14:14:05 +0000 2011,668,289,11707,2256,"Yuk gercep #TangkapAbuJanda
Kepingin rumah spt punyae sultan 🙄
Tapi apadaya dana dhuafa 😪

Jgn khawatir bestie, nih yg isa ⤵️⤵️⤵️
https://t.co/Nb7XdsE76W
Stiker kaca
https://t.co/NJm5WiDdEi
Stiker Kaca film
https://t.co/dw06ukDNI1
Stiker lantai
https://t.co/oioABaFPl6
Toko",MARKETING - Makelar Everything | Pembelajar & mengajar | Plan as a business man |,Fri Jul 08 01:25:06 +0000 2022,0,1,1
1.53E+18,sicimilikiti,Sicimilikiti,Sat May 28 16:12:51 +0000 2022,1,0,0,403,Mesin politik PDIP bakal solid mendukung Puan Maharani apabila nantinya maju pada Pilpres 2024. Puan dinilai layak maju jadi Capres. https://t.co/RXl85XcQg8 Mega Usung Puan,,Thu Jul 21 16:23:38 +0000 2022,0,0,1
1.54E+18,LunaWulandari6,Luna Wulandari,Sat Jun 25 02:38:27 +0000 2022,17,7,14,14,"Pemerintah Kembangkan Labuan Bajo Sebagai Destinasi Prioritas 

#NKRISemakinBerjaya #labuanbajo Selamat Hari Anak Nasional #12yearsofonedirection Indonesia Maju Anak Terlindungi Pemain Terbaik Jokowi Peduli Negeri ready for blackpink Dia 10 ERHA #เราจะได้เจอบะบิวแล้ว https://t.co/pMBOD1sIQT","Medan,",Sat Jul 23 06:00:00 +0000 2022,1,1,1
